place,rating,comment,sentiment,clean_comment
Pura Besakih,3,"Cukup menarik, meski ada beberapa kekurangan di fasilitas.",Netral,cukup menarik meski ada beberapa kekurangan di fasilitas
Pura Besakih,3,"Standar wisata pada umumnya, tidak ada yang spesial.",Netral,standar wisata pada umumnya tidak ada yang spesial
Kepulauan Seribu,4,"Destinasi wisata yang wajib dikunjungi, pemandangan memukau.",Positif,destinasi wisata yang wajib dikunjungi pemandangan memukau
Labuan Bajo,5,"Air laut jernih dan biru, pasir putih bersih, sangat indah.",Positif,air laut jernih dan biru pasir putih bersih sangat indah
Borobudur Temple,5,"Fasilitas lengkap dan nyaman, sangat cocok untuk keluarga.",Positif,fasilitas lengkap dan nyaman sangat cocok untuk keluarga
Bromo Tengger Semeru,5,"Air laut jernih dan biru, pasir putih bersih, sangat indah.",Positif,air laut jernih dan biru pasir putih bersih sangat indah
Pantai Parangtritis,1,"Sampah berserakan di mana-mana, pengelolaan kebersihan kurang baik.",Negatif,sampah berserakan di mana-mana pengelolaan kebersihan kurang baik
Pantai Derawan,5,"Fasilitas lengkap dan nyaman, sangat cocok untuk keluarga.",Positif,fasilitas lengkap dan nyaman sangat cocok untuk keluarga
Nusa Penida,5,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Kebun Raya Bogor,4,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Tanah Lot Bali,3,Pemandangan bagus tapi terlalu ramai di akhir pekan.,Netral,pemandangan bagus tapi terlalu ramai di akhir pekan
Pantai Jimbaran,4,"Air laut jernih dan biru, pasir putih bersih, sangat indah.",Positif,air laut jernih dan biru pasir putih bersih sangat indah
Gili Trawangan,4,"Wisata terbaik yang pernah saya kunjungi, sangat direkomendasikan.",Positif,wisata terbaik yang pernah saya kunjungi sangat direkomendasikan
Ubud Monkey Forest,5,"Wisata terbaik yang pernah saya kunjungi, sangat direkomendasikan.",Positif,wisata terbaik yang pernah saya kunjungi sangat direkomendasikan
Pantai Pink Lombok,5,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Pantai Kuta Bali,3,"Tempat cukup oke, ada beberapa fasilitas yang perlu diperbaiki.",Netral,tempat cukup oke ada beberapa fasilitas yang perlu diperbaiki
Taman Nasional Ujung Kulon,4,"Pengalaman seru dan menakjubkan, pemandangan alam yang cantik.",Positif,pengalaman seru dan menakjubkan pemandangan alam yang cantik
Borobudur Temple,4,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Nusa Penida,5,"Wisata terbaik yang pernah saya kunjungi, sangat direkomendasikan.",Positif,wisata terbaik yang pernah saya kunjungi sangat direkomendasikan
Goa Pindul,5,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Nusa Penida,5,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Air Terjun Gitgit,4,"Pengalaman seru dan menakjubkan, pemandangan alam yang cantik.",Positif,pengalaman seru dan menakjubkan pemandangan alam yang cantik
Danau Toba,5,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Bromo Tengger Semeru,5,"Air laut jernih dan biru, pasir putih bersih, sangat indah.",Positif,air laut jernih dan biru pasir putih bersih sangat indah
Danau Toba,5,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Taman Nasional Ujung Kulon,4,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Pantai Jimbaran,2,"Sampah berserakan di mana-mana, pengelolaan kebersihan kurang baik.",Negatif,sampah berserakan di mana-mana pengelolaan kebersihan kurang baik
Pantai Kuta Bali,4,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Raja Ampat,5,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Gili Trawangan,4,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Bromo Tengger Semeru,5,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Prambanan Temple,3,Pemandangan bagus tapi terlalu ramai di akhir pekan.,Netral,pemandangan bagus tapi terlalu ramai di akhir pekan
Lembah Harau,2,"Terlalu ramai dan padat, tidak bisa menikmati suasana dengan tenang.",Negatif,terlalu ramai dan padat tidak bisa menikmati suasana dengan tenang
Pantai Parangtritis,3,"Tempat cukup oke, ada beberapa fasilitas yang perlu diperbaiki.",Netral,tempat cukup oke ada beberapa fasilitas yang perlu diperbaiki
Prambanan Temple,5,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Taman Nasional Ujung Kulon,5,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Lembah Harau,5,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Pantai Pink Lombok,5,"Wisata terbaik yang pernah saya kunjungi, sangat direkomendasikan.",Positif,wisata terbaik yang pernah saya kunjungi sangat direkomendasikan
Pantai Parangtritis,3,Lumayan bagus tapi bisa lebih ditingkatkan lagi pengelolaannya.,Netral,lumayan bagus tapi bisa lebih ditingkatkan lagi pengelolaannya
Ubud Monkey Forest,5,Tempat yang sangat indah dan memukau! Pemandangannya luar biasa.,Positif,tempat yang sangat indah dan memukau pemandangannya luar biasa
Gili Trawangan,4,"Bersih dan terawat dengan baik, petugas sangat ramah dan helpful.",Positif,bersih dan terawat dengan baik petugas sangat ramah dan helpful
Ancol Dreamland,5,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Komodo National Park,3,"Tempat cukup oke, ada beberapa fasilitas yang perlu diperbaiki.",Netral,tempat cukup oke ada beberapa fasilitas yang perlu diperbaiki
Nusa Penida,4,"Destinasi wisata yang wajib dikunjungi, pemandangan memukau.",Positif,destinasi wisata yang wajib dikunjungi pemandangan memukau
Pantai Pink Lombok,5,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Borobudur Temple,5,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Kebun Raya Bogor,4,"Bersih dan terawat dengan baik, petugas sangat ramah dan helpful.",Positif,bersih dan terawat dengan baik petugas sangat ramah dan helpful
Pantai Jimbaran,4,"Destinasi wisata yang wajib dikunjungi, pemandangan memukau.",Positif,destinasi wisata yang wajib dikunjungi pemandangan memukau
Pura Besakih,4,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Gunung Rinjani,5,"Wisata terbaik yang pernah saya kunjungi, sangat direkomendasikan.",Positif,wisata terbaik yang pernah saya kunjungi sangat direkomendasikan
Tanah Lot Bali,3,"Tempat cukup oke, ada beberapa fasilitas yang perlu diperbaiki.",Netral,tempat cukup oke ada beberapa fasilitas yang perlu diperbaiki
Prambanan Temple,5,"Pengalaman seru dan menakjubkan, pemandangan alam yang cantik.",Positif,pengalaman seru dan menakjubkan pemandangan alam yang cantik
Labuan Bajo,5,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Gili Trawangan,5,"Suasana alam sangat asri dan sejuk, keluarga sangat menikmati.",Positif,suasana alam sangat asri dan sejuk keluarga sangat menikmati
Taman Laut Bunaken,5,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Lembah Harau,4,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Nusa Penida,1,"Sampah berserakan di mana-mana, pengelolaan kebersihan kurang baik.",Negatif,sampah berserakan di mana-mana pengelolaan kebersihan kurang baik
Goa Pindul,5,"Bersih dan terawat dengan baik, petugas sangat ramah dan helpful.",Positif,bersih dan terawat dengan baik petugas sangat ramah dan helpful
Prambanan Temple,5,"Wisata alam terbaik, cocok untuk liburan keluarga dan anak-anak.",Positif,wisata alam terbaik cocok untuk liburan keluarga dan anak-anak
Pantai Pink Lombok,4,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Istana Maimun,4,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Gunung Rinjani,5,"Pengalaman tak terlupakan, pasti akan kembali lagi ke sini.",Positif,pengalaman tak terlupakan pasti akan kembali lagi ke sini
Taman Laut Bunaken,5,"Pengalaman tak terlupakan, pasti akan kembali lagi ke sini.",Positif,pengalaman tak terlupakan pasti akan kembali lagi ke sini
Pura Besakih,4,"Pengalaman seru dan menakjubkan, pemandangan alam yang cantik.",Positif,pengalaman seru dan menakjubkan pemandangan alam yang cantik
Pantai Kuta Bali,4,"Bersih dan terawat dengan baik, petugas sangat ramah dan helpful.",Positif,bersih dan terawat dengan baik petugas sangat ramah dan helpful
Taman Mini Indonesia Indah,4,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Kawah Ijen,4,"Bersih dan terawat dengan baik, petugas sangat ramah dan helpful.",Positif,bersih dan terawat dengan baik petugas sangat ramah dan helpful
Danau Toba,5,"Suasana alam sangat asri dan sejuk, keluarga sangat menikmati.",Positif,suasana alam sangat asri dan sejuk keluarga sangat menikmati
Pantai Kuta Bali,3,"Cukup menarik, meski ada beberapa kekurangan di fasilitas.",Netral,cukup menarik meski ada beberapa kekurangan di fasilitas
Danau Toba,5,"Pengalaman tak terlupakan, pasti akan kembali lagi ke sini.",Positif,pengalaman tak terlupakan pasti akan kembali lagi ke sini
Taman Mini Indonesia Indah,5,"Bersih dan terawat dengan baik, petugas sangat ramah dan helpful.",Positif,bersih dan terawat dengan baik petugas sangat ramah dan helpful
Prambanan Temple,4,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Komodo National Park,5,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Nusa Penida,5,"Lokasi mudah dijangkau, parkir luas, tempat sangat terawat.",Positif,lokasi mudah dijangkau parkir luas tempat sangat terawat
Borobudur Temple,4,"Air laut jernih dan biru, pasir putih bersih, sangat indah.",Positif,air laut jernih dan biru pasir putih bersih sangat indah
Labuan Bajo,3,"Standar wisata pada umumnya, tidak ada yang spesial.",Netral,standar wisata pada umumnya tidak ada yang spesial
Kawah Ijen,4,"Suasana alam sangat asri dan sejuk, keluarga sangat menikmati.",Positif,suasana alam sangat asri dan sejuk keluarga sangat menikmati
Kebun Raya Bogor,4,"Wisata alam terbaik, cocok untuk liburan keluarga dan anak-anak.",Positif,wisata alam terbaik cocok untuk liburan keluarga dan anak-anak
Tanah Lot Bali,5,"Wisata alam terbaik, cocok untuk liburan keluarga dan anak-anak.",Positif,wisata alam terbaik cocok untuk liburan keluarga dan anak-anak
Komodo National Park,5,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Goa Pindul,4,"Fasilitas lengkap dan nyaman, sangat cocok untuk keluarga.",Positif,fasilitas lengkap dan nyaman sangat cocok untuk keluarga
Pantai Jimbaran,3,Pemandangan bagus tapi terlalu ramai di akhir pekan.,Netral,pemandangan bagus tapi terlalu ramai di akhir pekan
Danau Toba,2,"Parkir sempit dan jauh dari lokasi wisata, tidak nyaman.",Negatif,parkir sempit dan jauh dari lokasi wisata tidak nyaman
Air Terjun Gitgit,5,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Kebun Raya Bogor,3,"Standar wisata pada umumnya, tidak ada yang spesial.",Netral,standar wisata pada umumnya tidak ada yang spesial
Kawah Ijen,4,"Lokasi mudah dijangkau, parkir luas, tempat sangat terawat.",Positif,lokasi mudah dijangkau parkir luas tempat sangat terawat
Kawah Ijen,5,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Kepulauan Seribu,4,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Pantai Senggigi,4,"Pengalaman seru dan menakjubkan, pemandangan alam yang cantik.",Positif,pengalaman seru dan menakjubkan pemandangan alam yang cantik
Pantai Jimbaran,5,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Pantai Senggigi,5,"Pengalaman seru dan menakjubkan, pemandangan alam yang cantik.",Positif,pengalaman seru dan menakjubkan pemandangan alam yang cantik
Goa Pindul,4,"Wisata terbaik yang pernah saya kunjungi, sangat direkomendasikan.",Positif,wisata terbaik yang pernah saya kunjungi sangat direkomendasikan
Kawah Ijen,4,"Suasana alam sangat asri dan sejuk, keluarga sangat menikmati.",Positif,suasana alam sangat asri dan sejuk keluarga sangat menikmati
Prambanan Temple,2,"Sampah berserakan di mana-mana, pengelolaan kebersihan kurang baik.",Negatif,sampah berserakan di mana-mana pengelolaan kebersihan kurang baik
Pantai Derawan,5,"Air laut jernih dan biru, pasir putih bersih, sangat indah.",Positif,air laut jernih dan biru pasir putih bersih sangat indah
Pura Besakih,3,"Standar wisata pada umumnya, tidak ada yang spesial.",Netral,standar wisata pada umumnya tidak ada yang spesial
Ubud Monkey Forest,4,"Wisata alam terbaik, cocok untuk liburan keluarga dan anak-anak.",Positif,wisata alam terbaik cocok untuk liburan keluarga dan anak-anak
Goa Pindul,5,"Wisata alam terbaik, cocok untuk liburan keluarga dan anak-anak.",Positif,wisata alam terbaik cocok untuk liburan keluarga dan anak-anak
Lembah Harau,4,"Lokasi mudah dijangkau, parkir luas, tempat sangat terawat.",Positif,lokasi mudah dijangkau parkir luas tempat sangat terawat
Gunung Rinjani,4,"Suasana alam sangat asri dan sejuk, keluarga sangat menikmati.",Positif,suasana alam sangat asri dan sejuk keluarga sangat menikmati
Pura Besakih,1,Fasilitas toilet kurang bersih dan tidak terawat dengan baik.,Negatif,fasilitas toilet kurang bersih dan tidak terawat dengan baik
Istana Maimun,5,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Danau Toba,4,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Pantai Parangtritis,3,"Standar wisata pada umumnya, tidak ada yang spesial.",Netral,standar wisata pada umumnya tidak ada yang spesial
Labuan Bajo,3,"Cukup menarik, meski ada beberapa kekurangan di fasilitas.",Netral,cukup menarik meski ada beberapa kekurangan di fasilitas
Komodo National Park,4,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Pantai Pink Lombok,5,"Wisata terbaik yang pernah saya kunjungi, sangat direkomendasikan.",Positif,wisata terbaik yang pernah saya kunjungi sangat direkomendasikan
Taman Nasional Ujung Kulon,5,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Pantai Jimbaran,5,"Wisata alam terbaik, cocok untuk liburan keluarga dan anak-anak.",Positif,wisata alam terbaik cocok untuk liburan keluarga dan anak-anak
Ubud Monkey Forest,4,Tempat yang sangat indah dan memukau! Pemandangannya luar biasa.,Positif,tempat yang sangat indah dan memukau pemandangannya luar biasa
Pantai Senggigi,4,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Raja Ampat,2,Pedagang asongan terlalu agresif mengganggu kenyamanan wisatawan.,Negatif,pedagang asongan terlalu agresif mengganggu kenyamanan wisatawan
Taman Mini Indonesia Indah,4,"Air laut jernih dan biru, pasir putih bersih, sangat indah.",Positif,air laut jernih dan biru pasir putih bersih sangat indah
Lembah Harau,5,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Taman Mini Indonesia Indah,5,"Suasana alam sangat asri dan sejuk, keluarga sangat menikmati.",Positif,suasana alam sangat asri dan sejuk keluarga sangat menikmati
